Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  7.45     52.29    52.29                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4235 @ 8056cf5)
  0.02    685.07     0.13                             ObjectClass::computeEdgeAngleForceEnergy(PolygonClass*) (subroutines.cc:2028 @ 804f886)
  0.02    685.20     0.13                             EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1180 @ 804c89d)
  0.02    685.32     0.13                             threeValueSort(double*, double*, double*) (subroutines.cc:303 @ 8049e6d)
  0.02    685.45     0.13                             EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1189 @ 804c941)
  0.02    685.57     0.12                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4711 @ 80586d8)
  0.02    685.69     0.12                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1613 @ 804e053)
  0.02    685.81     0.12 11161827    10.75    10.75  ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4327 @ 805716a)
  0.02    685.93     0.12                             compare_double(void const*, void const*) (subroutines.cc:148 @ 8049b34)
  0.02    686.05     0.12                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4167 @ 8056907)
  0.02    686.17     0.12                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3884 @ 8055d62)
  0.02    686.29     0.12                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3957 @ 805612e)
  0.02    686.41     0.12                             ObjectClass::computeNewEdgeLengths() (subroutines.cc:1784 @ 804ea4e)
  0.02    686.52     0.12  8167197    14.08    14.08  PolygonClass::checkPolygonEdgePolygonIntersection(double**, int (*) [2], double*, double**, int, int) (subroutines.cc:768 @ 804b488)
  0.02    686.64     0.12                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3918 @ 8055f36)
  0.02    686.75     0.11                             SpaceClass::init() (subroutines.cc:2775 @ 805282c)
  0.02    686.86     0.11                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:378 @ 804a147)
  0.02    686.97     0.11                             ManipClass::collectNicePolygons(ContainerClass&, PolygonClass*, SpaceClass&, double*, int, int*&, int&, int&, int, bool) (subroutines.cc:3646 @ 8055450)
  0.02    687.08     0.11                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3894 @ 8055e0c)
  0.02    687.19     0.11                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3916 @ 8055f00)
  0.02    687.30     0.11                             EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1193 @ 804c9db)
  0.01    687.40     0.11                             biggest(double*, int&) (subroutines.cc:209 @ 8049d01)
  0.01    687.50     0.10                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:347 @ 804a039)
  0.01    687.60     0.10                             biggest(double*, int&) (subroutines.cc:215 @ 8049d0c)
  0.01    687.70     0.10                             biggest(double*, int&) (subroutines.cc:222 @ 8049d17)
  0.01    687.80     0.10                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4439 @ 8057787)
  0.01    687.90     0.10                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4264 @ 8056ead)
  0.01    688.00     0.10                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4722 @ 80587e0)
  0.01    688.10     0.10                             ManipClass::computeVertexEnergyForce(ContainerClass&) (subroutines.cc:4541 @ 8057cbe)
  0.01    688.20     0.10                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3905 @ 8055e85)
  0.01    688.30     0.10                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3999 @ 8056407)
  0.01    688.40     0.10                             PolygonClass::recordBoxes(int*, int) (subroutines.cc:833 @ 804b684)
  0.01    688.50     0.10                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4196 @ 8056a97)
  0.01    688.59     0.10                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:344 @ 804a020)
  0.01    688.68     0.09                             threeValueSort(double*, double*, double*) (subroutines.cc:246 @ 8049d6f)
  0.01    688.77     0.09                             copyControlFile() (subroutines.cc:143 @ 8049b2b)
  0.01    688.86     0.09                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4382 @ 80573e0)
  0.01    688.95     0.09                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4402 @ 80574b4)
  0.01    689.04     0.09                             ManipClass::collectNicePolygons(ContainerClass&, PolygonClass*, SpaceClass&, double*, int, int*&, int&, int&, int, bool) (subroutines.cc:3634 @ 80553df)
  0.01    689.13     0.09                             ManipClass::computePolygonNormals(ContainerClass&, PolygonClass*) (subroutines.cc:3366 @ 80545a3)
  0.01    689.22     0.09                             ObjectClass::computeGlobalParams() (subroutines.cc:1857 @ 804eed7)
  0.01    689.31     0.09                             ObjectClass::computeNewEdgeLengths() (subroutines.cc:1787 @ 804ea6f)
  0.01    689.40     0.09                             VertexClass::~VertexClass() (subroutines.cc:1101 @ 804c427)
  0.01    689.49     0.09                             EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1185 @ 804c8ec)
  0.01    689.58     0.09                             addArrayElement(int*&, int&, int&, int, int) (subroutines.cc:505 @ 804aaad)
  0.01    689.66     0.09                             PolygonClass::checkPolygonEdgePolygonIntersection(double**, int (*) [2], double*, double**, int, int) (subroutines.cc:810 @ 804b5e0)
  0.01    689.75     0.09                             addArrayElement(int*&, int&, int&, int, int) (subroutines.cc:503 @ 804aa9c)
  0.01    689.83     0.08                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4197 @ 8056b1c)
  0.01    689.91     0.08                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4195 @ 8056b23)
  0.01    689.99     0.08                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4253 @ 8056e69)
  0.01    690.07     0.08                             ManipClass::computeNewVertexCoords(ContainerClass&, double) (subroutines.cc:4625 @ 8058285)
  0.01    690.15     0.08                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3904 @ 8055e7e)
  0.01    690.23     0.08                             SpaceClass::checkBoxOverlap(double**, int, bool*) (subroutines.cc:3210 @ 8053d92)
  0.01    690.31     0.08                             SpaceClass::computeBoxesToCheck(double**, int*&, int&) (subroutines.cc:2945 @ 80531e8)
  0.01    690.39     0.08                             SpaceClass::~SpaceClass() (subroutines.cc:2788 @ 8052919)
  0.01    690.47     0.08                             ObjectClass::initEdgeAngles(PolygonClass*) (subroutines.cc:2005 @ 804f724)
  0.01    690.55     0.08                             ObjectClass::computeNewEdgeLengths() (subroutines.cc:1762 @ 804e928)
  0.01    690.63     0.08                             BoxClass::~BoxClass() (subroutines.cc:665 @ 804af52)
  0.01    690.71     0.08                             EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1191 @ 804c98b)
  0.01    690.79     0.08                             main (mesh_manip.cc:110 @ 8058da4)
  0.01    690.86     0.08                             SpaceClass::computeBoxesToCheck(double**, int*&, int&) (subroutines.cc:2941 @ 80530dc)
  0.01    690.94     0.08                             SpaceClass::computeBoxesToCheck(double**, int*&, int&) (subroutines.cc:2958 @ 80532cb)
  0.01    691.01     0.08                             PolygonClass::checkPolygonEdgePolygonIntersection(double**, int (*) [2], double*, double**, int, int) (subroutines.cc:809 @ 804b5cb)
  0.01    691.08     0.07                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4490 @ 8057a65)
  0.01    691.15     0.07                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4274 @ 8056f17)
  0.01    691.22     0.07                             ManipClass::collectNicePolygons(ContainerClass&, PolygonClass*, SpaceClass&, double*, int, int*&, int&, int&, int, bool) (subroutines.cc:3638 @ 8055430)
  0.01    691.29     0.07                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4731 @ 80587f4)
  0.01    691.36     0.07                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4781 @ 8058a73)
  0.01    691.43     0.07                             ObjectClass::computeNewEdgeLengths() (subroutines.cc:1781 @ 804ea33)
  0.01    691.50     0.07  9007049     7.77     7.77  ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3865 @ 8055d54)
  0.01    691.57     0.07                             addArrayElement(int*&, int&, int&, int, int) (subroutines.cc:492 @ 804aa19)
  0.01    691.64     0.07                             ManipClass::identifyBoxes(ContainerClass&, PolygonClass*, SpaceClass&, int, int*&, int&, int&) (subroutines.cc:4097 @ 805673b)
  0.01    691.71     0.07                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4440 @ 80577a8)
  0.01    691.78     0.07                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:4016 @ 80564ab)
  0.01    691.85     0.07                             BoxClass::addPolygon(int&) (subroutines.cc:633 @ 804ae28)
  0.01    691.92     0.07                             BoxClass::addPolygon(int&) (subroutines.cc:648 @ 804aed0)
  0.01    691.99     0.07                             EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1169 @ 804c7c1)
  0.01    692.06     0.07                             ManipClass::collectNicePolygons(ContainerClass&, PolygonClass*, SpaceClass&, double*, int, int*&, int&, int&, int, bool) (subroutines.cc:3634 @ 805543f)
  0.01    692.12     0.07                             ManipClass::collectNicePolygons(ContainerClass&, PolygonClass*, SpaceClass&, double*, int, int*&, int&, int&, int, bool) (subroutines.cc:3646 @ 805557a)
  0.01    692.19     0.07                             ManipClass::computePolygonIntersectionForce(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4650 @ 8058348)
  0.01    692.25     0.07                             SpaceClass::computeBoxesToCheck(double**, int*&, int&) (subroutines.cc:2926 @ 8052fba)
  0.01    692.32     0.07                             threeValueSort(double*, double*, double*) (subroutines.cc:284 @ 8049e24)
  0.01    692.38     0.07                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:350 @ 804a049)
  0.01    692.45     0.07                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4342 @ 80571d6)
  0.01    692.51     0.07                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4197 @ 8056ab5)
  0.01    692.58     0.07                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4725 @ 80587db)
  0.01    692.64     0.07                             ManipClass::findIntersectedPolygons(ContainerClass&, PolygonClass*, SpaceClass&, int, int, double*, int*&, int&, int*&, int&, int&, int*&, int&, int&, bool) (subroutines.cc:3722 @ 8055846)
  0.01    692.71     0.07                             ObjectClass::computeNewEdgeLengths() (subroutines.cc:1783 @ 804ea45)
  0.01    692.77     0.06                             ManipClass::findOddMeshes(PolygonClass*, int*, int, int*, int&, bool) (subroutines.cc:3859 @ 8055d4d)
  0.01    692.83     0.06                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4375 @ 805739a)
  0.01    692.89     0.06                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4403 @ 80574be)
  0.01    692.95     0.06                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3951 @ 80560e6)
  0.01    693.01     0.06                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:4019 @ 8056503)
  0.01    693.07     0.06                             ObjectClass::initializeNewCoordinatesAndDevDist() (subroutines.cc:1305 @ 804cf90)
  0.01    693.13     0.06                             threeValueSort(double*, double*, double*) (subroutines.cc:280 @ 8049e15)
  0.01    693.19     0.06                             threeValueSort(double*, double*, double*) (subroutines.cc:291 @ 8049e4a)
  0.01    693.25     0.06                             ManipClass::identifyBoxes(ContainerClass&, PolygonClass*, SpaceClass&, int, int*&, int&, int&) (subroutines.cc:4083 @ 8056689)
  0.01    693.31     0.06                             ManipClass::identifyBoxes(ContainerClass&, PolygonClass*, SpaceClass&, int, int*&, int&, int&) (subroutines.cc:4087 @ 80566b2)
  0.01    693.37     0.06                             ManipClass::findIntersectedPolygons(ContainerClass&, PolygonClass*, SpaceClass&, int, int, double*, int*&, int&, int*&, int&, int&, int*&, int&, int&, bool) (subroutines.cc:3718 @ 805580e)
  0.01    693.43     0.06                             ManipClass::computeVertexEnergyForce(ContainerClass&) (subroutines.cc:4557 @ 8057e52)
  0.01    693.49     0.06                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3944 @ 8056078)
  0.01    693.55     0.06                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3946 @ 805609c)
  0.01    693.61     0.06                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3958 @ 805613c)
  0.01    693.67     0.06                             SpaceClass::checkBoxOverlap(double**, int, bool*) (subroutines.cc:3211 @ 8053d9c)
  0.01    693.73     0.06                             SpaceClass::checkBoxOverlap(double**, int, bool*) (subroutines.cc:3235 @ 8053ed3)
  0.01    693.79     0.06                             SpaceClass::computeBoxesToCheck(double**, int*&, int&) (subroutines.cc:2943 @ 8053162)
  0.01    693.85     0.06                             ObjectClass::computeNewEdgeLengths() (subroutines.cc:1750 @ 804e86e)
  0.01    693.91     0.06                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1510 @ 804db28)
  0.01    693.97     0.06                             ObjectClass::computeEdgeAngleForceEnergy(PolygonClass*) (subroutines.cc:2024 @ 804f7f6)
  0.01    694.03     0.06                             VertexClass::computeMeanOutwardNormal(PolygonClass*, double*) (subroutines.cc:876 @ 804b7b0)
  0.01    694.09     0.06                             EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1146 @ 804c5b1)
  0.01    694.14     0.06                             biggest(double*, int&) (subroutines.cc:233 @ 8049d43)
  0.01    694.20     0.06                             biggest(double*, int&) (subroutines.cc:237 @ 8049d4c)
  0.01    694.25     0.06                             ObjectClass::initializeNewCoordinatesAndDevDist() (subroutines.cc:1315 @ 804d0c4)
  0.01    694.31     0.06                             threeValueSort(double*, double*, double*) (subroutines.cc:254 @ 8049d9e)
  0.01    694.36     0.06                             threeValueSort(double*, double*, double*) (subroutines.cc:274 @ 8049df2)
  0.01    694.42     0.06                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:384 @ 804a181)
  0.01    694.47     0.06                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3892 @ 8055dd6)
  0.01    694.53     0.06                             ObjectClass::computeNewEdgeLengths() (subroutines.cc:1788 @ 804ea9a)
  0.01    694.58     0.06                             BoxClass::addPolygon(int&) (subroutines.cc:617 @ 804ad95)
  0.01    694.63     0.05  1079886    46.30    46.30  std::pow(double, int) (cmath:504 @ 805a564)
  0.01    694.68     0.05                             compare_double(void const*, void const*) (subroutines.cc:152 @ 8049b64)
  0.01    694.73     0.05                             addArrayElement(int*&, int&, int&, int, int) (subroutines.cc:476 @ 804a970)
  0.01    694.78     0.05                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:386 @ 804a187)
  0.01    694.83     0.05                             ManipClass::identifyBoxes(ContainerClass&, PolygonClass*, SpaceClass&, int, int*&, int&, int&) (subroutines.cc:4098 @ 805674c)
  0.01    694.88     0.05                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4377 @ 80573a1)
  0.01    694.93     0.05                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4391 @ 805748e)
  0.01    694.98     0.05                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4400 @ 80574a0)
  0.01    695.03     0.05                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4437 @ 805774d)
  0.01    695.08     0.05                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4475 @ 8057951)
  0.01    695.13     0.05                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4160 @ 80568af)
  0.01    695.18     0.05                             ManipClass::findIntersectedPolygons(ContainerClass&, PolygonClass*, SpaceClass&, int, int, double*, int*&, int&, int*&, int&, int&, int*&, int&, int&, bool) (subroutines.cc:3727 @ 8055895)
  0.01    695.23     0.05                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3900 @ 8055e62)
  0.01    695.28     0.05                             ManipClass::findNice(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:3463 @ 80548fe)
  0.01    695.33     0.05                             SpaceClass::checkBoxOverlap(double**, int, bool*) (subroutines.cc:3215 @ 8053dd3)
  0.01    695.38     0.05                             SpaceClass::checkBoxOverlap(double**, int, bool*) (subroutines.cc:3236 @ 8053ef7)
  0.01    695.43     0.05                             SpaceClass::computeBoxesToCheck(double**, int*&, int&) (subroutines.cc:2944 @ 80531a5)
  0.01    695.48     0.05                             SpaceClass::computeBoxesToCheck(double**, int*&, int&) (subroutines.cc:2957 @ 80532ba)
  0.01    695.53     0.05                             ObjectClass::computeNewEdgeLengths() (subroutines.cc:1778 @ 804ea15)
  0.01    695.58     0.05                             ObjectClass::computeEdgeAngleForceEnergy(PolygonClass*) (subroutines.cc:2029 @ 804f8ce)
  0.01    695.63     0.05                             VertexClass::~VertexClass() (subroutines.cc:1094 @ 804c387)
  0.01    695.68     0.05                             PolygonClass::recordBoxes(int*, int) (subroutines.cc:821 @ 804b5f8)
  0.01    695.73     0.05                             BoxClass::addPolygon(int&) (subroutines.cc:620 @ 804adbd)
  0.01    695.78     0.05                             EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1150 @ 804c635)
  0.01    695.83     0.05                             EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1165 @ 804c76d)
  0.01    695.88     0.05                             ScanClass::buildMeshAfter(ContainerClass&, PolygonClass*) (subroutines.cc:2641 @ 8051cfb)
  0.01    695.93     0.05                             ScanClass::scanFile(ContainerClass&, PolygonClass*, char*, bool, int) (subroutines.cc:2513 @ 8050de0)
  0.01    695.98     0.05                             ObjectClass::computeNewEdgeLengths() (subroutines.cc:1762 @ 804ec43)
  0.01    696.02     0.05                             addArrayElement(int*&, int&, int&, int, int) (subroutines.cc:488 @ 804a9f7)
  0.01    696.07     0.05                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:320 @ 8049e87)
  0.01    696.11     0.05                             biggest(double*, int&) (subroutines.cc:231 @ 8049d38)
  0.01    696.16     0.05                             SpaceClass::checkBoxOverlap(double**, int, bool*) (subroutines.cc:3212 @ 8053da9)
  0.01    696.20     0.05                             ObjectClass::computeNewEdgeLengths() (subroutines.cc:1802 @ 804ec28)
  0.01    696.24     0.04                             threeValueSort(double*, double*, double*) (subroutines.cc:270 @ 8049de3)
  0.01    696.28     0.04                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:426 @ 804a690)
  0.01    696.32     0.04                             hash(unsigned char*, unsigned long, unsigned long) (subroutines.cc:64 @ 8049782)
  0.01    696.36     0.04                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4333 @ 805717a)
  0.01    696.40     0.04                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4438 @ 805776a)
  0.01    696.44     0.04                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4441 @ 80577c9)
  0.01    696.48     0.04                             ManipClass::findClosestAxis(double*, double*) (subroutines.cc:3506 @ 8054a7d)
  0.01    696.52     0.04                             ManipClass::findClosestAxis(double*, double*) (subroutines.cc:3517 @ 8054aa4)
  0.01    696.56     0.04                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4215 @ 8056e96)
  0.01    696.60     0.04                             ManipClass::computePolygonNormals(ContainerClass&, PolygonClass*) (subroutines.cc:3371 @ 80545d6)
  0.01    696.64     0.04                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4720 @ 8058701)
  0.01    696.68     0.04                             ManipClass::findIntersectedPolygons(ContainerClass&, PolygonClass*, SpaceClass&, int, int, double*, int*&, int&, int*&, int&, int&, int*&, int&, int&, bool) (subroutines.cc:3690 @ 8055603)
  0.01    696.72     0.04                             ManipClass::findIntersectedPolygons(ContainerClass&, PolygonClass*, SpaceClass&, int, int, double*, int*&, int&, int*&, int&, int&, int*&, int&, int&, bool) (subroutines.cc:3730 @ 80558d3)
  0.01    696.76     0.04                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3901 @ 8055e69)
  0.01    696.80     0.04                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3902 @ 8055e70)
  0.01    696.84     0.04                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3926 @ 8055f9a)
  0.01    696.88     0.04                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3976 @ 8056238)
  0.01    696.92     0.04                             SpaceClass::checkBoxOverlap(double**, int, bool*) (subroutines.cc:3239 @ 8053f63)
  0.01    696.96     0.04                             ObjectClass::computeEdgeLengths() (subroutines.cc:1704 @ 804e4ec)
  0.01    697.00     0.04                             ObjectClass::computeGlobalParams() (subroutines.cc:1858 @ 804eefe)
  0.01    697.04     0.04                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1509 @ 804daf6)
  0.01    697.08     0.04                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1508 @ 804dbce)
  0.01    697.12     0.04                             ObjectClass::computeEdgeAngleForceEnergy(PolygonClass*) (subroutines.cc:2020 @ 804f790)
  0.01    697.16     0.04                             BoxClass::addPolygon(int&) (subroutines.cc:619 @ 804ada3)
  0.01    697.20     0.04                             BoxClass::addPolygon(int&) (subroutines.cc:647 @ 804aebf)
  0.01    697.24     0.04                             EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1153 @ 804c6aa)
  0.01    697.28     0.04                             EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1170 @ 804c7ef)
  0.01    697.32     0.04                             ScanClass::scanFile(ContainerClass&, PolygonClass*, char*, bool, int) (subroutines.cc:2521 @ 8050e5e)
  0.01    697.36     0.04                             double std::__cmath_power<double>(double, unsigned int) (cmath:477 @ 805a7b7)
  0.01    697.40     0.04                             double std::__cmath_power<double>(double, unsigned int) (cmath.tcc:43 @ 805a7e4)
  0.00    697.44     0.04                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:343 @ 804a019)
  0.00    697.47     0.04                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4310 @ 8057105)
  0.00    697.50     0.03                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4380 @ 80573c8)
  0.00    697.53     0.03                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4404 @ 80574c8)
  0.00    697.56     0.03                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4159 @ 80568f1)
  0.00    697.59     0.03                             ManipClass::findIntersectedPolygons(ContainerClass&, PolygonClass*, SpaceClass&, int, int, double*, int*&, int&, int*&, int&, int&, int*&, int&, int&, bool) (subroutines.cc:3698 @ 80556f0)
  0.00    697.62     0.03                             ManipClass::findIntersectedPolygons(ContainerClass&, PolygonClass*, SpaceClass&, int, int, double*, int*&, int&, int*&, int&, int&, int*&, int&, int&, bool) (subroutines.cc:3726 @ 80558cc)
  0.00    697.65     0.03                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3928 @ 8055fa8)
  0.00    697.68     0.03                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3947 @ 80560b4)
  0.00    697.71     0.03                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3979 @ 8056251)
  0.00    697.74     0.03                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:4013 @ 805649f)
  0.00    697.77     0.03                             ObjectClass::buildEdges(PolygonClass*, int, int*) (subroutines.cc:1955 @ 804f35b)
  0.00    697.80     0.03                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1488 @ 804da1d)
  0.00    697.83     0.03                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1636 @ 804e29f)
  0.00    697.86     0.03                             ContainerClass::writeVertexClosestDistanceToFile() (subroutines.cc:2375 @ 8050671)
  0.00    697.89     0.03                             EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1184 @ 804c8d3)
  0.00    697.92     0.03  3761547     7.98     7.98  threeValueSort(double*, double*, double*) (subroutines.cc:242 @ 8049d4e)
  0.00    697.95     0.03                             threeValueSort(double*, double*, double*) (subroutines.cc:249 @ 8049d85)
  0.00    697.98     0.03                             threeValueSort(double*, double*, double*) (subroutines.cc:290 @ 8049e3d)
  0.00    698.01     0.03                             ManipClass::identifyBoxes(ContainerClass&, PolygonClass*, SpaceClass&, int, int*&, int&, int&) (subroutines.cc:4086 @ 80566a3)
  0.00    698.04     0.03                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4189 @ 8056a25)
  0.00    698.07     0.03                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4319 @ 805713d)
  0.00    698.10     0.03                             ManipClass::collectNicePolygons(ContainerClass&, PolygonClass*, SpaceClass&, double*, int, int*&, int&, int&, int, bool) (subroutines.cc:3576 @ 8054d89)
